name,latitude,longitude
Kalnak,36.36667,51.73333
Badi` Kheyl,36.35151,51.74957
Astanakrud,36.40513,51.55955
Al Darreh,36.45485,51.48315
Taqiabad,36.43768,51.35012
Kandak,36.68333,51.3
Qal`eh Bon,36.34178,51.41504
Kenes Darreh,36.36667,51.28333
Shirgah,36.47533,51.25308
Likar Kola,36.4,51.2
Bab Rudbar,36.501,51.015
Sefidkhani,36.51584,51.00273
Shur Zamin,36.526,51.043
Mazu Chal,36.53383,51.05285
Poli Darreh,36.542,51.043
Sard Ab,36.546,51.058
Kak Neshin,36.553,51.0492
Shirvar,36.54903,51.00477
Lahsa Kuti,36.56698,51.00207
Kazemabad,36.60187,51.07957
Tazar,36.57296,51.05548
Zirgav,36.56738,51.07208
Saf Khuni,36.54852,51.0666
Haludaran,36.54318,51.07512
Tali Chal,36.51197,51.22213
Tulak,36.5222,51.31927
Ozar,36.53448,51.30542
Valsh,36.53492,51.29464
Shah Cheshmeh,36.60648,51.38412
Pol-e Kalat,36.58142,51.38096
Soltan Sar,36.56858,51.36413
Juru,36.55178,51.35496
Asgharabad,36.70588,51.20699
Jamshidabad,36.71057,51.18185
Tajaseb Kola,36.47364,52.21384
Nur,36.76667,51.03333
Naplar-e Pa'in,36.43165,52.17287
Kachal Deh,36.45,52.23333
Daliran,36.45,52.25
Mozrownkola,36.41609,52.33786
Tankabon,36.41667,52.33333
Darman Kola,36.61667,52.33333
Sag Mahalleh,36.45781,52.28853
Shah Mahalleh,36.50074,52.33316
Bandbon,36.6816,51.08096
Nafar Kheyl,36.46667,52.45
Ashekar Kola,36.55,52.43333
Allu,36.51667,52.4
Kalleh Kan,36.50906,52.36408
Ziarat Bar,36.70197,51.11031
`Abdollahabad,36.50112,52.12771
Gol Kuh,36.72286,51.11538
Surakh Mazu,36.45,52.26667
Eram,36.6019,52.32971
Ormak Kola,36.6,52.3
Shah Koti,36.58158,52.43365
Shahkola Kelich,36.6123,52.4191
`Alavi Kola,36.59627,52.41373
Manurich,36.62797,52.3166
Mian Kolmarz,36.6273,52.32375
Shah Mahalleh,36.62037,52.43474
Bandbon-e Qoli,36.70181,51.03406
Tashkuh-e Pa'in,36.55586,51.95656
Tir Kalleh,36.54336,51.97011
Nirak Deh-e Bala,36.55,51.93333
Benchkul-e Bala,36.56063,51.91978
Bijar,36.677,51.05
Matdul,36.56035,51.89852
Mian Shahr,36.55375,51.8934
Hardo Rud,36.13333,52.28333
Lutareh,36.08977,52.11808
Latingan,36.62967,51.54534
Sefidestan,36.01488,51.49749
Kan Sang,36.6,51.51667
Kureh,36.15,51.35
Shah Pol,36.10391,51.31432
Kashgun,36.0271,51.342
Deraz Mian,36.02783,51.36926
Sorkheh Darreh,36.05,51.3
Takye-ye Sepahsalar,36.05,51.2
Rey Zamin,36.03333,51.2
Korkorudsar-e Bala,36.64683,51.47697
Qal`eh Dokhtar,36.14646,51.08376
Narian,36.21797,51.00037
Korkorudsar-e Pa'in,36.65648,51.47939
`Aliabad,36.27875,51.15905
Shokri Kola,36.64594,51.48276
Siah Bisheh,36.21296,51.31441
Khvosh Kola,36.24184,51.2938
Rudgar Mahalleh,36.71699,50.99738
Michar,36.31667,51.2
Henesk,36.28333,51.43333
Lakayerd,36.18333,51.43333
Owzkola,36.18158,51.65046
Emamzadeh Yusef,36.31667,51.6
Kolik,36.17621,51.78968
Ashrafabad,36.78333,51.01667
Turamin,37.8889,45.977
Kordlar,37.9589,45.9885
Zeyn ol Hajjilu,37.9663,45.9313
Mianeh,37.53333,45.93333
Bozorg Tappeh,37.68333,45.95
Qarabgholu,37.7033,45.1407
Zarmanlu,37.723,45.2052
Abilu,37.68333,45.18333
Qarahlar,37.5757,45.0652
Senowkesh,37.4753,46.2396
Qeshlaq,37.4495,46.265
Khotb,37.4607,46.341
Jahangir,37.4063,46.2763
