name,latitude,longitude
Talī Chāl,36.51197,51.22213
Tūlak,36.5222,51.31927
Ozār,36.53448,51.30542
Valsh,36.53492,51.29464
Shāh Cheshmeh,36.60648,51.38412
Pol-e Kalāt,36.58142,51.38096
Solţān Sar,36.56858,51.36413
Jūrū,36.55178,51.35496
Aşgharābād,36.70588,51.20699
Jamshīdābād,36.71057,51.18185
Tajāseb Kolā,36.47364,52.21384
Nūr,36.76667,51.03333
Nāplār-e Pā’īn,36.43165,52.17287
Kachal Deh,36.45,52.23333
Dalīrān,36.45,52.25
Mozrownkolā,36.41609,52.33786
Tankābon,36.41667,52.33333
Darmān Kolā,36.61667,52.33333
Sag Maḩalleh,36.45781,52.28853
Shāh Maḩalleh,36.50074,52.33316
Bandbon,36.6816,51.08096
Nafar Kheyl,36.46667,52.45
Āshekār Kolā,36.55,52.43333
Allū,36.51667,52.4
Kalleh Kān,36.50906,52.36408
Zīārat Bar,36.70197,51.11031
‘Abdollāhābād,36.50112,52.12771
Gol Kūh,36.72286,51.11538
Sūrākh Māzū,36.45,52.26667
Eram,36.6019,52.32971
Ormak Kolā,36.6,52.3
Shāh Kotī,36.58158,52.43365
Shāhkolā Kelīch,36.6123,52.4191
‘Alavī Kolā,36.59627,52.41373
Manūrīch,36.62797,52.3166
Mīān Kolmarz,36.6273,52.32375
Shāh Maḩalleh,36.62037,52.43474
Bandbon-e Qolī,36.70181,51.03406
Tāshkūh-e Pā’īn,36.55586,51.95656
Tīr Kalleh,36.54336,51.97011
Nīrak Deh-e Bālā,36.55,51.93333
Benchkūl-e Bālā,36.56063,51.91978
Bījār,36.677,51.05
Matdūl,36.56035,51.89852
Mīān Shahr,36.55375,51.8934
Hardo Rūd,36.13333,52.28333
Lūtareh,36.08977,52.11808
Latīngān,36.62967,51.54534
Sefīdestān,36.01488,51.49749
Kān Sang,36.6,51.51667
Kūreh,36.15,51.35
Shāh Pol,36.10391,51.31432
Kashgūn,36.0271,51.342
Derāz Mīān,36.02783,51.36926
Sorkheh Darreh,36.05,51.3
Takye-ye Sepahsālār,36.05,51.2
Rey Zamīn,36.03333,51.2
Korkorūdsar-e Bālā,36.64683,51.47697
Qal‘eh Dokhtar,36.14646,51.08376
Nārīān,36.21797,51.00037
Korkorūdsar-e Pā’īn,36.65648,51.47939
‘Alīābād,36.27875,51.15905
Shokrī Kolā,36.64594,51.48276
Sīāh Bīsheh,36.21296,51.31441
Khvosh Kolā,36.24184,51.2938
Rūdgar Maḩalleh,36.71699,50.99738
Mīchar,36.31667,51.2
Henesk,36.28333,51.43333
Lakāyerd,36.18333,51.43333
Owzkolā,36.18158,51.65046
Emāmzādeh Yūsef,36.31667,51.6
Kolīk,36.17621,51.78968
Ashrafābād,36.78333,51.01667
Tūrāmīn,37.8889,45.977
Kordlar,37.9589,45.9885
Zeyn ol Ḩājjīlū,37.9663,45.9313
Mīāneh,37.53333,45.93333
Bozorg Tappeh,37.68333,45.95
Qarābgholū,37.7033,45.1407
Zarmānlū,37.723,45.2052
Ābīlū,37.68333,45.18333
Qarahlar,37.5757,45.0652
Senowkesh,37.4753,46.2396
Qeshlāq,37.4495,46.265
Khoţb,37.4607,46.341
Jahāngīr,37.4063,46.2763
Khalīfeh Kandī,37.2904,46.3582
Tāzeh Kand-e Zavāraq,37.29436,46.09849
Dīzaj-e Nāvlū,37.34184,46.08612
Noşratābād-e Amīr Ghāyeb,37.10408,46.20261
Ārpā Darrehsī,37.0749,46.3968
Qermez Khalīfeh-ye ‘Olyā,37.06556,46.06244
Nez̧āmābād,37.0437,45.9491
Bīdestān,36.10334,53.89803
Karbalā’ī ‘Alī,36.01667,53.86667
Gandalābād,36.08333,53.73333
Ḩājjīābād,36.06195,53.69554
Ḩājjīābād,36.02866,53.80951
Ḩoseynābād,36.02919,53.7948
Sīāvash Kolā,36.17051,53.52837
Qal‘eh Gardan,36.07894,53.51613
Zarmā,36.05434,53.51578
Band-e Bon,36.00068,53.23046
Khārī Sarā,36.00229,53.24452
Kheshtestān,36.13985,53.2959
Jūjā Deh,36.1,53.25
Sūteh Kolā,36.0954,53.1904
Nasām Ţalār Sar,36.03333,53.16667
Tāj od Dīn,36.03333,53.18333
Qatūjā,36.03333,53.2
Varpey,36.01981,53.16055
Sang Sīr,36.09294,53.07106
Ḩājjī Kolā,36.08598,53.03486
